PromptText,Use absorbent paper,,
SetClick,002/hx_jcyql_ldj,,
PlayAnim,5-030,,
PlayAnim,5-031,,
SetClick,002/hx_jcyql_ldj,,
PlayAnim,5-032,,
SetClick,002/hx_jcyql_ldj,,
PlayAnim,5-033,,
PromptText,Open the microscope,,
PromptText,Adjust the slide,,这里插入一个显微镜打开灯光
PlayAnim,5-034,,
PromptText,observation,,
PlayAnim,5-035,,
PromptText,Looking for a target,,这里插入摄像机前移看显微镜
PromptText,Drop in mirror oil,,这里少个动画
SetClick,001/hx_fyl_100mlzxp,,
PlayAnim,5-036,,
PromptText,blocked-out,,
PlayAnim,5-037,,这里插入摄像机前移看显微镜
PromptTextImage,result,,
PlayAnim,5-038,,
PromptText,close,,
PromptText,handle,,
PlayAnim,5-039,,
SetClick,002/hx_jcyql_ldj,,
PlayAnim,5-040,,
PromptText,clean,,
SetClick,Box001,,
PlayAnim,5-041,,
PromptText,discard,,
PlayAnim,5-042,,
