ShowCustomUI,Single-choice,,弹出自定义答题UI
PromptText,UseMicroscope,,弹出使用显微镜
PlayAnim,1,,
SetClick,buransebiaobenjiancha,,载玻片交互
PlayAnim,2,,
PromptText,OpenLight,,弹出打开灯光
SwitchLight,PointLight,TRUE,打开灯光
PromptText,AdjustSlide,,弹出调节中央
PlayAnim,3,,
PromptText,LowObserveTheSpecimen,,弹出先用低倍镜观察标本
PlayAnim,4,,
CameraMove,Microscope,1,摄像机移动到显微镜
PromptText,HeightObserveTheSpecimen,,弹出切换到高倍镜观察
CameraMove,Origin,1,摄像机移动到起始点
PlayAnim,5,,
CameraMove,Microscope,1,摄像机移动到显微镜
ShowCustomUI,SpecimenPanel,,弹出自定义标本图UI
CameraMove,Origin,1,摄像机移动到起始点
PromptText,CloseLight,,弹出关闭灯光
SwitchLight,PointLight,FALSE,关闭灯光
PlayAnim,6,,
PromptText,ExEnd,,
SetClick,buransebiaobenjiancha,,载玻片交互
PlayAnim,7,,
End,1,,
